follower_id,followee_id
1183762360671985664,211891907
34673189,211891907
1173845283970543616,211891907
899456055842750464,211891907
1039548998384865281,211891907
1059570050,211891907
1180840606576328706,211891907
1165334333172932608,211891907
233986040,211891907
1047559790090752001,211891907
191905736,211891907
143421193,211891907
880769392388313089,211891907
837662527811026946,211891907
1171455731419234304,211891907
3068230560,211891907
1133236221809975301,211891907
1165842889685000192,211891907
442897937,211891907
962795391891755011,211891907
341121018,211891907
206746168,211891907
1129698483647082497,211891907
1131211957631983616,211891907
1121072208711966720,211891907
1116789417476337664,211891907
1111323274888298496,211891907
419857006,211891907
931611977826304001,211891907
815083947617042432,211891907
1104036975345127425,211891907
776104513329561600,211891907
626647970,211891907
821412288829779970,211891907
1947854238,211891907
1097075884656336897,211891907
1005930982057414664,211891907
306971101,211891907
855688702432911360,211891907
991337030570430464,211891907
1041541003264643072,211891907
1075449514528509953,211891907
834910325212344320,211891907
1576185228,211891907
10820722,211891907
3224454105,211891907
1048581129098420225,211891907
969319463530258433,211891907
1068483135074009088,211891907
1047636595510108160,211891907
787375119425351681,211891907
915303500,211891907
440321534,211891907
1051514067754602501,211891907
1052178674202624001,211891907
1315046136,211891907
1048392419719430144,211891907
3778281312,211891907
1034450242505125888,211891907
619151516,211891907
1852354398,211891907
1038971036648316931,211891907
343309601,211891907
1038662665822908417,211891907
1035884589619863553,211891907
846488183604957184,211891907
522171308,211891907
18305157,211891907
57513122,211891907
738763386687754240,211891907
243869398,211891907
968962556172922880,211891907
2480545197,211891907
996797726372368385,211891907
53467117,211891907
23375994,211891907
902334340964737024,211891907
976501634586103808,211891907
980191422082056197,211891907
87110013,211891907
1307664876,211891907
3752443061,211891907
592074063,211891907
727593128019042305,211891907
73112403,211891907
941365917774241793,211891907
868071102878068736,211891907
898762638007709696,211891907
4398116375,211891907
917472852122710016,211891907
845461954449702912,211891907
179819782,211891907
818841989022105600,211891907
838213584320524290,211891907
3665657661,211891907
4260025546,211891907
925129797159800835,211891907
2414286007,211891907
930869443860852741,211891907
702603593300340736,211891907
223994040,211891907
273012525,211891907
264550748,211891907
927457726401200129,211891907
